ID,credit.policy,purpose,int.rate,installment,annual_income,log.annual.inc,dti,fico,fico_category,days.with.cr.line,revol.bal,revol.util,inq.last.6mths,delinq.2yrs,pub.rec,not.fully.paid,int.rate.type
72,1,debt_consolidation,0.0996,257.99,48000.00001,10.77895629,15.13,722,Excellent,2640,11289,47.8,3,0,0,0,Low
73,1,small_business,0.1501,225.37,212999.999,12.26904744,6.45,677,Good,6240,56411,75.3,0,0,0,1,High
74,1,home_improvement,0.0964,80.26,74999.99981,11.22524339,20,772,Excellent,4920.958333,269,3.8,3,0,0,1,Low
75,1,home_improvement,0.128,84,31999.99994,10.37349118,20,682,Good,5492,3408,35.1,1,0,0,1,High
76,1,debt_consolidation,0.1122,507.46,39999.99988,10.59663473,13.5,712,Excellent,5368.958333,6513,34.3,3,0,1,1,Low
77,1,educational,0.0743,124.31,39999.99988,10.59663473,3.45,772,Excellent,1739.958333,330,11,0,0,0,0,Low
78,1,credit_card,0.087,63.32,69999.99993,11.15625052,6.07,712,Excellent,2550,5967,19.8,1,0,0,0,Low
79,1,all_other,0.1091,130.79,18000,9.798127037,18,707,Excellent,2192,5533,79.6,1,0,0,0,Low
80,1,home_improvement,0.0775,93.67,125000.0005,11.73606902,2.14,762,Excellent,8370,21050,1,0,0,0,0,Low
81,1,all_other,0.0775,93.67,49999.99978,10.81977828,5.35,762,Excellent,8370,21050,0.7,0,0,0,0,Low
82,1,all_other,0.087,88.65,119999.9998,11.69524702,15,742,Excellent,3026,8155,14.9,1,0,0,0,Low
83,1,all_other,0.0964,128.41,99999.9995,11.51292546,15,722,Excellent,3026,8155,14.9,1,0,0,0,Low
84,1,home_improvement,0.087,94.98,61999.99975,11.03488966,12.23,737,Excellent,2729.958333,3678,30.7,0,0,0,0,Low
85,1,debt_consolidation,0.1217,179.8,34999.99998,10.46310334,7.1,662,Good,2944,2040,36.2,2,0,0,0,High
86,1,credit_card,0.1533,444.05,59999.99993,11.00209984,19.52,667,Good,2700.958333,33074,68.8,2,0,0,0,High
87,1,all_other,0.0775,124.89,61799.99979,11.03165864,3.46,747,Excellent,2519,1918,17.1,0,0,0,0,Low
88,1,credit_card,0.1533,644.3,90000.00006,11.40756495,5.24,662,Good,1770,22379,62.2,0,0,0,0,High
89,1,small_business,0.0964,642.02,95999.99996,11.47210347,2.86,737,Excellent,2190,10296,42.5,0,0,0,1,Low
90,1,small_business,0.1154,104.76,15000,9.61580548,12.24,672,Good,1289.958333,2867,55.1,3,0,0,1,Low
91,1,debt_consolidation,0.1122,157.66,29999.99998,10.30895266,12.36,682,Good,1770,12310,86.1,0,0,0,0,Low
92,1,debt_consolidation,0.087,383.87,149999.9995,11.91839057,4.8,767,Excellent,13349.95833,61921,39.1,0,0,0,0,Low
93,1,credit_card,0.1122,217.6,87999.9997,11.38509209,18,702,Excellent,3725,16738,26.1,2,0,0,0,Low
94,1,all_other,0.0807,297.99,63000.00029,11.05089001,3.49,792,Excellent,5939,40384,9.2,1,0,0,0,Low
95,1,debt_consolidation,0.0775,156.11,45000.00006,10.71441777,5,762,Excellent,2131,1359,5.6,2,0,0,0,Low
96,1,debt_consolidation,0.1154,329.95,224999.9997,12.32385568,20,727,Excellent,10292,107501,44.8,2,0,0,0,Low
97,1,all_other,0.0807,313.67,172999.9994,12.06104687,0.72,787,Excellent,8010,3054,5.6,3,0,0,0,Low
98,1,all_other,0.0807,297.99,90000.00006,11.40756495,2.44,792,Excellent,8717.958333,40384,9.6,0,0,0,0,Low
99,1,home_improvement,0.0933,239.65,92999.9998,11.44035477,9.66,792,Excellent,4529,128000,0,3,0,0,0,Low
100,1,debt_consolidation,0.0712,61.87,117999.9996,11.6784399,0.43,772,Excellent,5936,4709,18.5,0,0,0,0,Low
101,1,all_other,0.1186,94.47,45000.00006,10.71441777,2.8,667,Good,5460,2850,75,0,1,0,0,Low
102,1,small_business,0.1501,73.68,95999.99996,11.47210347,16.89,702,Excellent,4080,51,0,0,0,0,1,High
103,1,home_improvement,0.0807,313.67,149999.9995,11.91839057,5.84,792,Excellent,5364.958333,37152,3.7,0,0,0,0,Low
104,1,debt_consolidation,0.0933,543.2,74999.99981,11.22524339,9.55,762,Excellent,5699.958333,3839,16.6,1,0,0,0,Low
105,1,home_improvement,0.0807,313.67,85000.00038,11.35040654,3.11,797,Excellent,5363.958333,37152,3.7,0,0,0,0,Low
106,1,credit_card,0.1217,266.37,69999.99993,11.15625052,10.2,672,Good,3598.958333,26283,39.5,0,1,0,1,High
107,1,debt_consolidation,0.1028,210.6,45000.00006,10.71441777,5.87,692,Good,1741.958333,5607,42.2,0,0,0,0,Low
108,1,all_other,0.1249,234.15,22999.99989,10.04324949,5.01,662,Good,1110,1061,81.9,3,0,0,0,High
109,1,debt_consolidation,0.1028,323.99,119999.9998,11.69524702,14.4,722,Excellent,4679.958333,56740,77.5,1,0,0,0,Low
110,1,credit_card,0.1059,235.96,57000.00018,10.95080655,7.22,712,Excellent,5519,40598,77.3,1,0,0,0,Low
111,1,debt_consolidation,0.1438,352.22,72000.00014,11.1844214,17.83,687,Good,1289.958333,3815,6.5,1,0,0,0,High
112,1,all_other,0.0743,117.31,119999.9998,11.69524702,0,772,Excellent,3929.958333,0,0,1,0,0,0,Low
113,1,debt_consolidation,0.0712,64.96,109999.9995,11.60823564,0.22,812,Excellent,16213,50,0.3,0,0,0,0,Low
114,1,small_business,0.1565,699.69,92000.00037,11.42954386,1.53,667,Good,3603.958333,4569,56.4,1,0,0,0,High
115,1,educational,0.1059,195.27,19000,9.852194258,8.15,692,Good,3089.958333,8528,86.1,0,0,0,0,Low
116,1,credit_card,0.1122,295.59,32399.99994,10.3859137,22.15,747,Excellent,2788.958333,14345,45.8,0,0,0,0,Low
117,1,small_business,0.1122,217.59,49999.99978,10.81977828,18.38,707,Excellent,3359,113,2.4,1,0,0,0,Low
118,1,debt_consolidation,0.1375,263.09,62200.00008,11.03811028,9.8,677,Good,3089.958333,12231,81,3,0,0,1,High
119,1,debt_consolidation,0.1467,248.43,57000.00018,10.95080655,20.76,667,Good,3750,13552,69.1,0,1,0,0,High
120,1,credit_card,0.1028,194.4,87299.99984,11.37710574,10.6,692,Good,2489.958333,16813,63.9,0,0,0,0,Low
121,1,debt_consolidation,0.1249,301.04,39000.00019,10.57131693,5.08,667,Good,3690,26233,62.9,3,0,1,1,High
122,1,all_other,0.0743,163.92,85000.00038,11.35040654,2.64,782,Excellent,9210,5760,16,0,0,0,0,Low
123,1,all_other,0.1028,150.66,45600.00021,10.727663,3.26,687,Good,6509.958333,105,35,1,1,0,1,Low
124,1,debt_consolidation,0.1122,217.59,57100.00025,10.9525594,13.77,682,Good,2160,11490,95.7,0,0,0,0,Low
125,1,home_improvement,0.1312,85.23,39999.99988,10.59663473,20.67,692,Good,5250,17641,30.5,3,1,0,0,High
126,1,all_other,0.1122,328.43,29999.99998,10.30895266,20.4,742,Excellent,3270,0,0,3,0,0,0,Low
127,1,all_other,0.0807,165.47,54999.99977,10.91508846,12,797,Excellent,8790,12430,19.2,1,0,0,0,Low
128,1,debt_consolidation,0.1091,140.6,36000.00009,10.49127422,9.87,707,Excellent,1560,12323,44,0,0,0,0,Low
129,1,all_other,0.1028,98.01,90000.00006,11.40756495,9.13,697,Good,3300,38624,97.8,0,0,0,0,Low
130,1,small_business,0.1217,166.48,10000,9.210340372,0,662,Good,2250,875,54.7,2,1,0,1,High
131,1,small_business,0.1249,284.32,85000.00038,11.35040654,6.38,667,Good,7229.958333,1196,12,3,4,0,0,High
132,1,small_business,0.1438,194.15,479999.9986,13.08154138,2.4,697,Good,2759.958333,26628,60.4,3,1,0,0,High
133,1,all_other,0.1028,138.51,30999.99989,10.34174248,24.81,767,Excellent,5789.958333,6752,24.6,2,0,0,0,Low
134,1,debt_consolidation,0.1249,70.25,12500,9.433483923,14.4,662,Good,1469,458,91.6,1,0,0,1,High
135,1,credit_card,0.0838,252.1,105000.0001,11.56171563,9.71,752,Excellent,3508.958333,16786,44.7,0,0,0,0,Low
136,1,all_other,0.0901,263.19,119999.9998,11.69524702,12.16,742,Excellent,9719.958333,7336,29.9,0,0,0,0,Low
137,1,all_other,0.0933,104.65,61999.99975,11.03488966,3.83,702,Excellent,3690,7089,41.9,1,0,0,0,Low
138,1,debt_consolidation,0.0807,172.53,54000.00024,10.89673933,6.29,742,Excellent,5100,18388,68.9,0,0,0,0,Low
139,1,credit_card,0.0996,38.7,31999.99994,10.37349118,1.13,677,Good,1920,613,76.6,2,0,0,0,Low
140,1,educational,0.1249,100.35,29119.99993,10.2791805,12.77,662,Good,1110,566,51.5,3,1,0,1,High
141,1,debt_consolidation,0.128,335.98,36399.99987,10.50232405,18.92,682,Good,2219,9166,50.4,1,0,0,0,High
142,1,all_other,0.1091,163.49,39000.00019,10.57131693,11.78,707,Excellent,4889,5406,33.4,0,0,1,1,Low
143,1,all_other,0.0996,32.25,34999.99998,10.46310334,5.83,687,Good,2158.958333,1188,3,2,0,0,1,Low
144,1,educational,0.0996,96.75,18000,9.798127037,15.4,707,Excellent,11248.95833,12003,40.4,1,0,0,0,Low
145,1,all_other,0.1059,72.42,59999.99993,11.00209984,8.14,707,Excellent,4800,20511,62,1,0,0,1,Low
146,1,small_business,0.0964,90.68,69999.99993,11.15625052,18,732,Excellent,3691,55720,10,2,0,0,0,Low
147,1,all_other,0.0807,259.58,49000.00014,10.79957558,9.89,772,Excellent,9870,7744,17.1,0,0,0,0,Low
148,1,all_other,0.0964,169.32,69999.99993,11.15625052,17.57,737,Excellent,5429.958333,51761,38,1,0,0,0,Low
149,1,credit_card,0.1154,205.4,45000.00006,10.71441777,17.76,717,Excellent,1500,579,23.2,0,0,0,0,Low
150,1,debt_consolidation,0.1312,162.01,85000.00038,11.35040654,16.87,707,Excellent,9059.958333,34776,54.3,0,0,0,1,High
151,1,debt_consolidation,0.1028,226.8,55399.99985,10.92233487,10.05,692,Good,1890,8047,33.8,0,0,0,0,Low
152,1,all_other,0.1059,162.73,15000,9.61580548,24.4,737,Excellent,3209.958333,0,0,3,0,0,0,Low
153,1,debt_consolidation,0.1154,158.38,24999.9999,10.1266311,18.19,672,Good,2586,409,81.8,0,1,0,0,Low
154,1,small_business,0.0901,795.11,57000.00018,10.95080655,8.93,822,Excellent,9696.958333,185,0.5,0,0,0,0,Low
155,1,debt_consolidation,0.0996,158.83,84000.00018,11.33857208,4.84,727,Excellent,6330,48251,50.1,2,0,0,0,Low
156,1,all_other,0.1028,97.2,38000.00005,10.54534144,19.93,687,Good,2580,772,96.5,0,0,0,0,Low
157,1,debt_consolidation,0.1154,263.97,49999.99978,10.81977828,8.04,672,Good,3089,1019,4.5,1,1,0,0,Low
158,1,small_business,0.1091,404.62,46713.00012,10.75177778,16.39,692,Good,5640,8332,39.9,2,0,0,0,Low
159,1,all_other,0.0775,307.53,69999.99993,11.15625052,9.09,797,Excellent,6089.958333,1790,4.5,1,0,0,0,Low
160,1,debt_consolidation,0.128,839.95,74999.99981,11.22524339,24.85,722,Excellent,6330,62739,74.7,3,0,0,1,High
161,1,all_other,0.1059,269.31,108999.9999,11.59910316,24.01,767,Excellent,4665.958333,29901,71.2,2,0,0,1,Low
162,1,debt_consolidation,0.1186,265.18,52000.00013,10.858999,11.31,667,Good,1560,5867,74.3,1,0,0,0,Low
163,1,home_improvement,0.0964,802.47,78000.00034,11.26446411,0.8,732,Excellent,2129.958333,10605,22.1,1,0,0,0,Low
164,1,debt_consolidation,0.1091,505.16,119999.9998,11.69524702,16.97,697,Good,9659,57196,44.5,3,0,0,1,Low
165,1,home_improvement,0.0901,318.05,275000.0009,12.52452638,2.97,712,Excellent,4919,481,80.2,2,0,0,1,Low
166,1,educational,0.0838,315.12,29999.99998,10.30895266,4.2,737,Excellent,1560,2282,19,1,0,0,0,Low
167,1,all_other,0.1091,130.79,14400.00001,9.574983486,8.92,672,Good,1140,3614,61.3,1,0,0,0,Low
168,1,debt_consolidation,0.1059,227.82,63499.99969,11.05879518,8.5,682,Good,6839.958333,14930,79,1,0,1,0,Low
169,1,credit_card,0.0996,643.36,116000,11.66134547,13.07,727,Excellent,10529.95833,33989,82.9,0,0,0,0,Low
170,1,all_other,0.147,51.78,24999.9999,10.1266311,3.84,632,Fair,1530,1238,61.9,1,1,0,0,High
171,1,educational,0.0901,572.48,41000.00018,10.62132735,15.37,747,Excellent,7500,4746,18.5,2,0,0,0,Low
172,1,all_other,0.0775,149.87,21000.00001,9.952277717,6.34,752,Excellent,3029,3470,25.5,0,0,0,0,Low
173,1,all_other,0.0996,96.75,61999.99975,11.03488966,11.98,682,Good,1799,12640,83.2,0,0,0,0,Low
174,1,home_improvement,0.0712,92.8,92999.9998,11.44035477,0,812,Excellent,8250,368,1.2,0,0,0,0,Low
175,1,credit_card,0.1091,192.09,65999.99993,11.09741002,19.82,677,Good,4290,30597,89.5,1,1,0,0,Low
176,1,all_other,0.1154,593.92,26999.99987,10.20359214,10.8,682,Good,5050,8537,75.5,0,0,0,0,Low
177,1,debt_consolidation,0.1091,392.36,34999.99998,10.46310334,15.74,692,Good,1500.041667,15649,54.5,2,0,0,0,Low
178,1,educational,0.0775,156.11,52000.00013,10.858999,9.55,767,Excellent,12960.04167,4067,7.3,0,0,0,0,Low
179,1,debt_consolidation,0.1028,155.52,34999.99998,10.46310334,7.51,687,Good,2795,5836,68.7,0,0,1,0,Low
180,1,credit_card,0.1028,485.99,87999.9997,11.38509209,11.95,702,Excellent,5070,24615,94.7,0,0,0,0,Low
181,1,all_other,0.1028,116.64,29999.99998,10.30895266,7.88,687,Good,5130.041667,7600,71.7,0,0,1,0,Low
182,1,debt_consolidation,0.1122,223.34,50999.99991,10.83958091,18.68,682,Good,1889.041667,9495,87.9,2,0,0,1,Low
183,1,credit_card,0.0775,149.87,20000.00001,9.903487553,10.26,757,Excellent,6330.041667,4921,30.4,0,0,0,0,Low
184,1,educational,0.1154,211.17,94999.99994,11.46163217,1.83,667,Good,3421.041667,11200,23.2,1,0,0,0,Low
185,1,debt_consolidation,0.0743,186.45,68685.9998,11.13730067,6.11,777,Excellent,7440.041667,2444,5.6,3,0,0,0,Low
186,1,debt_consolidation,0.0933,790.86,59999.99993,11.00209984,0.82,767,Excellent,2100,916,6.8,0,0,0,0,Low
187,1,small_business,0.0901,795.11,615999.9985,13.33100224,3.83,782,Excellent,3660,148829,6.6,5,0,0,1,Low
188,1,credit_card,0.087,126.65,43999.99987,10.69194491,18.71,747,Excellent,3630,3209,12.6,0,0,0,0,Low
189,1,credit_card,0.1091,294.27,79999.99971,11.28978191,17.17,677,Good,3840.041667,7570,82.3,0,0,0,0,Low
190,1,debt_consolidation,0.1091,404.62,79999.99971,11.28978191,9.23,687,Good,2519,13126,96.5,0,0,1,0,Low
191,1,debt_consolidation,0.1186,397.77,149999.9995,11.91839057,20.48,687,Good,4452.041667,66654,51.6,1,0,0,0,Low
192,1,debt_consolidation,0.0743,178.68,94999.99994,11.46163217,1.2,812,Excellent,16259.04167,50,0.3,0,0,0,0,Low
193,1,educational,0.1028,29.16,12000,9.392661929,16.7,687,Good,2069,3084,65.6,3,0,0,1,Low
194,1,small_business,0.0996,417.62,92000.00037,11.42954386,6.48,712,Excellent,5610.041667,2598,23.8,1,0,0,0,Low
195,1,credit_card,0.1059,130.18,61999.99975,11.03488966,17.81,682,Good,6330.041667,18168,68.5,2,0,0,0,Low
196,1,all_other,0.1122,98.53,32904,10.40134951,22.79,682,Good,9389,24218,85.3,2,0,0,0,Low
197,1,all_other,0.0807,15.69,18000,9.798127037,4.27,722,Excellent,1470,0,0,0,0,0,0,Low
198,1,credit_card,0.1091,523.14,200000.0009,12.20607265,10.7,697,Good,7320,72303,73.7,1,0,0,0,Low
199,1,all_other,0.087,557.23,152999.9999,11.9381932,0.12,757,Excellent,1128.041667,1032,5,0,0,0,0,Low
200,1,all_other,0.1122,315.3,42499.99979,10.65725935,14.6,677,Good,3630,133,4.2,1,0,0,0,Low
201,1,debt_consolidation,0.1154,527.93,44400.00007,10.70099475,12.16,682,Good,2130,34023,57.7,1,2,0,1,Low
202,1,major_purchase,0.0743,93.23,72000.00014,11.1844214,11.18,757,Excellent,4500.041667,12430,29.6,5,0,0,0,Low
203,1,debt_consolidation,0.0775,202.94,48000.00001,10.77895629,13.53,787,Excellent,10260.04167,10742,8.9,3,0,0,0,Low
204,1,debt_consolidation,0.1186,165.74,39999.99988,10.59663473,7.02,667,Good,2789.041667,2197,75.8,0,2,0,1,Low
205,1,all_other,0.1028,158.76,43999.99987,10.69194491,15.3,692,Good,4410,88,23.8,1,3,0,1,Low
206,1,debt_consolidation,0.1028,485.99,49999.99978,10.81977828,11.88,702,Excellent,7020.041667,13867,33.7,0,0,0,0,Low
207,1,all_other,0.0996,322.49,72499.99994,11.19134184,10.28,702,Excellent,4920.041667,3943,98.6,3,0,0,1,Low
208,1,debt_consolidation,0.087,189.97,24000.00002,10.08580911,19.45,757,Excellent,3870.041667,5405,40,2,0,0,0,Low
209,1,debt_consolidation,0.1217,376.24,33600.00014,10.42228135,23.96,712,Excellent,3030.041667,12102,49,1,0,0,0,High
210,1,debt_consolidation,0.1217,599.33,110244,11.61045137,18.3,682,Good,4379,18076,81.4,1,0,0,0,High
211,1,debt_consolidation,0.1217,132.35,26999.99987,10.20359214,23.2,702,Excellent,5279.041667,4504,39.2,1,0,0,1,High
212,1,small_business,0.1186,828.69,52000.00013,10.858999,9.74,712,Excellent,4859.041667,25852,60.5,0,0,0,0,Low
213,1,credit_card,0.1091,604.88,52000.00013,10.858999,17.56,707,Excellent,8061,32438,43,0,1,0,0,Low
214,1,debt_consolidation,0.087,538.23,55900.00005,10.93131966,11.51,747,Excellent,6240.041667,20380,48.1,2,0,0,0,Low
215,1,credit_card,0.0933,172.55,42000.00011,10.6454249,16.09,707,Excellent,2220,38054,61.2,0,0,0,0,Low
216,1,small_business,0.1091,604.88,36000.00009,10.49127422,4.67,697,Good,1410,25,0.2,2,0,0,0,Low
217,1,all_other,0.0996,290.24,38000.00005,10.54534144,3.38,697,Good,1782,3305,55.1,2,0,0,0,Low
218,1,major_purchase,0.1186,530.36,86399.99959,11.36674295,15.1,682,Good,3900,348,4.8,0,0,0,1,Low
219,1,all_other,0.087,158.31,24000.00002,10.08580911,6.15,722,Excellent,1350,3015,25.3,0,0,0,0,Low
220,1,debt_consolidation,0.1059,390.54,29999.99998,10.30895266,19.84,702,Excellent,2042.041667,7336,71.9,1,0,0,0,Low
221,1,credit_card,0.1249,301.04,52000.00013,10.858999,4.98,662,Good,6630.041667,8644,72.6,1,0,0,0,High
